admit,gre,gpa,prestige
0.00,380,3.610,3.00
1.00,660,3.670,3.00
1.00,800,4.000,1.00
1.00,640,3.190,4.00
0.00,520,2.930,4.00
1.00,760,3.000,2.00
1.00,560,2.980,1.00
0.00,400,3.080,2.00
1.00,540,3.390,3.00
0.00,700,3.920,2.00
0.00,800,4.000,4.00
0.00,440,3.220,1.00
1.00,760,4.000,1.00
0.00,700,3.080,2.00
1.00,700,4.000,1.00
0.00,480,3.440,3.00
0.00,780,3.870,4.00
0.00,360,2.560,3.00
0.00,800,3.750,2.00
1.00,540,3.810,1.00
0.00,500,3.170,3.00
1.00,660,3.630,2.00
0.00,600,2.820,4.00
0.00,680,3.190,4.00
1.00,760,3.350,2.00
1.00,800,3.660,1.00
1.00,620,3.610,1.00
1.00,520,3.740,4.00
1.00,780,3.220,2.00
0.00,520,3.290,1.00
0.00,540,3.780,4.00
0.00,760,3.350,3.00
0.00,600,3.400,3.00
1.00,800,4.000,3.00
0.00,360,3.140,1.00
0.00,400,3.050,2.00
0.00,580,3.250,1.00
0.00,520,2.900,3.00
1.00,500,3.130,2.00
1.00,520,2.680,3.00
0.00,560,2.420,2.00
1.00,580,3.320,2.00
1.00,600,3.150,2.00
0.00,500,3.310,3.00
0.00,700,2.940,2.00
1.00,460,3.450,3.00
1.00,580,3.460,2.00
0.00,500,2.970,4.00
0.00,440,2.480,4.00
0.00,400,3.350,3.00
0.00,640,3.860,3.00
0.00,440,3.130,4.00
0.00,740,3.370,4.00
1.00,680,3.270,2.00
0.00,660,3.340,3.00
1.00,740,4.000,3.00
0.00,560,3.190,3.00
0.00,380,2.940,3.00
0.00,400,3.650,2.00
0.00,600,2.820,4.00
1.00,620,3.180,2.00
0.00,560,3.320,4.00
0.00,640,3.670,3.00
1.00,680,3.850,3.00
0.00,580,4.000,3.00
0.00,600,3.590,2.00
0.00,740,3.620,4.00
0.00,620,3.300,1.00
0.00,580,3.690,1.00
0.00,800,3.730,1.00
0.00,640,4.000,3.00
0.00,300,2.920,4.00
0.00,480,3.390,4.00
0.00,580,4.000,2.00
0.00,720,3.450,4.00
0.00,720,4.000,3.00
0.00,560,3.360,3.00
1.00,800,4.000,3.00
0.00,540,3.120,1.00
1.00,620,4.000,1.00
0.00,700,2.900,4.00
0.00,620,3.070,2.00
0.00,500,2.710,2.00
0.00,380,2.910,4.00
1.00,500,3.600,3.00
0.00,520,2.980,2.00
0.00,600,3.320,2.00
0.00,600,3.480,2.00
0.00,700,3.280,1.00
1.00,660,4.000,2.00
0.00,700,3.830,2.00
1.00,720,3.640,1.00
0.00,800,3.900,2.00
0.00,580,2.930,2.00
1.00,660,3.440,2.00
0.00,660,3.330,2.00
0.00,640,3.520,4.00
0.00,480,3.570,2.00
0.00,700,2.880,2.00
0.00,400,3.310,3.00
0.00,340,3.150,3.00
0.00,580,3.570,3.00
0.00,380,3.330,4.00
0.00,540,3.940,3.00
1.00,660,3.950,2.00
1.00,740,2.970,2.00
1.00,700,3.560,1.00
0.00,480,3.130,2.00
0.00,400,2.930,3.00
0.00,480,3.450,2.00
0.00,680,3.080,4.00
0.00,420,3.410,4.00
0.00,360,3.000,3.00
0.00,600,3.220,1.00
0.00,720,3.840,3.00
0.00,620,3.990,3.00
1.00,440,3.450,2.00
0.00,700,3.720,2.00
1.00,800,3.700,1.00
0.00,340,2.920,3.00
1.00,520,3.740,2.00
1.00,480,2.670,2.00
0.00,520,2.850,3.00
0.00,500,2.980,3.00
0.00,720,3.880,3.00
0.00,540,3.380,4.00
1.00,600,3.540,1.00
0.00,740,3.740,4.00
0.00,540,3.190,2.00
0.00,460,3.150,4.00
1.00,620,3.170,2.00
0.00,640,2.790,2.00
0.00,580,3.400,2.00
0.00,500,3.080,3.00
0.00,560,2.950,2.00
0.00,500,3.570,3.00
0.00,560,3.330,4.00
0.00,700,4.000,3.00
0.00,620,3.400,2.00
1.00,600,3.580,1.00
0.00,640,3.930,2.00
1.00,700,3.520,4.00
0.00,620,3.940,4.00
0.00,580,3.400,3.00
0.00,580,3.400,4.00
0.00,380,3.430,3.00
0.00,480,3.400,2.00
0.00,560,2.710,3.00
1.00,480,2.910,1.00
0.00,740,3.310,1.00
1.00,800,3.740,1.00
0.00,400,3.380,2.00
1.00,640,3.940,2.00
0.00,580,3.460,3.00
0.00,620,3.690,3.00
1.00,580,2.860,4.00
0.00,560,2.520,2.00
1.00,480,3.580,1.00
0.00,660,3.490,2.00
0.00,700,3.820,3.00
0.00,600,3.130,2.00
0.00,640,3.500,2.00
1.00,700,3.560,2.00
0.00,520,2.730,2.00
0.00,580,3.300,2.00
0.00,700,4.000,1.00
0.00,440,3.240,4.00
0.00,720,3.770,3.00
0.00,500,4.000,3.00
0.00,600,3.620,3.00
0.00,400,3.510,3.00
0.00,540,2.810,3.00
0.00,680,3.480,3.00
1.00,800,3.430,2.00
0.00,500,3.530,4.00
1.00,620,3.370,2.00
0.00,520,2.620,2.00
1.00,620,3.230,3.00
0.00,620,3.330,3.00
0.00,300,3.010,3.00
0.00,620,3.780,3.00
0.00,500,3.880,4.00
0.00,700,4.000,2.00
1.00,540,3.840,2.00
0.00,500,2.790,4.00
0.00,800,3.600,2.00
0.00,560,3.610,3.00
0.00,,,2.00
0.00,560,3.070,2.00
0.00,500,3.350,2.00
1.00,640,2.940,2.00
0.00,800,3.540,3.00
0.00,640,3.760,3.00
0.00,380,3.590,4.00
1.00,600,3.470,2.00
0.00,560,3.590,2.00
0.00,660,3.070,3.00
1.00,400,3.230,4.00
0.00,600,3.630,3.00
0.00,580,3.770,4.00
0.00,800,3.310,3.00
1.00,580,3.200,2.00
1.00,700,4.000,1.00
0.00,420,3.920,4.00
1.00,600,3.890,1.00
1.00,780,3.800,3.00
0.00,740,3.540,1.00
1.00,640,3.630,1.00
0.00,540,3.160,3.00
0.00,580,3.500,2.00
0.00,740,3.340,4.00
0.00,580,3.020,2.00
0.00,,2.870,2.00
0.00,640,3.380,3.00
1.00,600,3.560,2.00
1.00,660,2.910,3.00
0.00,340,2.900,1.00
1.00,460,3.640,1.00
0.00,460,2.980,1.00
1.00,560,3.590,2.00
0.00,540,3.280,3.00
0.00,680,3.990,3.00
1.00,480,3.020,1.00
0.00,800,3.470,3.00
0.00,800,2.900,2.00
1.00,720,3.500,3.00
0.00,620,3.580,2.00
0.00,540,3.020,4.00
0.00,480,3.430,2.00
1.00,720,3.420,2.00
0.00,580,3.290,4.00
0.00,600,3.280,3.00
0.00,380,3.380,2.00
0.00,420,2.670,3.00
1.00,800,3.530,1.00
0.00,620,3.050,2.00
1.00,660,,
0.00,480,4.000,2.00
0.00,500,2.860,4.00
0.00,700,3.450,3.00
0.00,440,2.760,2.00
1.00,520,3.810,1.00
1.00,680,2.960,3.00
0.00,620,3.220,2.00
0.00,540,3.040,1.00
0.00,800,3.910,3.00
0.00,680,3.340,2.00
0.00,440,3.170,2.00
0.00,680,3.640,3.00
0.00,640,3.730,3.00
0.00,660,3.310,4.00
0.00,620,3.210,4.00
1.00,520,4.000,2.00
1.00,540,3.550,4.00
1.00,740,3.520,4.00
0.00,640,3.350,3.00
1.00,520,3.300,2.00
1.00,620,3.950,3.00
0.00,520,3.510,2.00
0.00,640,3.810,2.00
0.00,680,3.110,2.00
0.00,440,3.150,2.00
1.00,520,3.190,3.00
1.00,620,3.950,3.00
1.00,520,3.900,3.00
0.00,380,3.340,3.00
0.00,560,3.240,4.00
1.00,600,3.640,3.00
1.00,680,3.460,2.00
0.00,500,2.810,3.00
1.00,640,3.950,2.00
0.00,540,3.330,3.00
1.00,680,3.670,2.00
0.00,660,3.320,1.00
0.00,520,3.120,2.00
1.00,600,2.980,2.00
0.00,460,3.770,3.00
1.00,580,3.580,1.00
1.00,680,3.000,4.00
1.00,660,3.140,2.00
0.00,660,3.940,2.00
0.00,360,3.270,3.00
0.00,660,3.450,4.00
0.00,520,3.100,4.00
1.00,440,3.390,2.00
0.00,600,3.310,4.00
1.00,800,3.220,1.00
1.00,660,3.700,4.00
0.00,800,3.150,4.00
0.00,420,2.260,4.00
1.00,620,3.450,2.00
0.00,800,2.780,2.00
0.00,680,3.700,2.00
0.00,800,3.970,1.00
0.00,480,2.550,1.00
0.00,520,3.250,3.00
0.00,560,3.160,1.00
0.00,460,3.070,2.00
0.00,540,3.500,2.00
0.00,720,3.400,3.00
0.00,640,3.300,2.00
1.00,660,3.600,3.00
1.00,400,3.150,2.00
1.00,680,3.980,2.00
0.00,220,2.830,3.00
0.00,580,3.460,4.00
1.00,540,3.170,1.00
0.00,580,3.510,2.00
0.00,540,3.130,2.00
0.00,440,2.980,3.00
0.00,560,4.000,3.00
0.00,660,3.670,2.00
0.00,660,3.770,3.00
1.00,520,3.650,4.00
0.00,540,3.460,4.00
1.00,300,2.840,2.00
1.00,340,3.000,2.00
1.00,780,3.630,4.00
1.00,480,3.710,4.00
0.00,540,3.280,1.00
0.00,460,3.140,3.00
0.00,460,3.580,2.00
0.00,500,3.010,4.00
0.00,420,2.690,2.00
0.00,520,2.700,3.00
0.00,680,3.900,1.00
0.00,680,3.310,2.00
1.00,560,3.480,2.00
0.00,580,3.340,2.00
0.00,500,2.930,4.00
0.00,740,4.000,3.00
0.00,660,3.590,3.00
0.00,420,2.960,1.00
0.00,560,3.430,3.00
1.00,460,3.640,3.00
1.00,620,3.710,1.00
0.00,520,3.150,3.00
0.00,620,3.090,4.00
0.00,540,3.200,1.00
1.00,660,3.470,3.00
0.00,500,3.230,4.00
1.00,560,2.650,3.00
0.00,500,3.950,4.00
0.00,580,3.060,2.00
0.00,520,3.350,3.00
0.00,500,3.030,3.00
0.00,600,3.350,2.00
0.00,580,3.800,2.00
0.00,400,3.360,2.00
0.00,620,2.850,2.00
1.00,780,4.000,2.00
0.00,620,3.430,3.00
1.00,580,3.120,3.00
0.00,700,3.520,2.00
1.00,540,3.780,2.00
1.00,760,2.810,1.00
0.00,700,3.270,2.00
0.00,720,3.310,1.00
1.00,560,3.690,3.00
0.00,720,3.940,3.00
1.00,520,4.000,1.00
1.00,540,3.490,1.00
0.00,680,3.140,2.00
0.00,460,3.440,2.00
1.00,560,3.360,1.00
0.00,480,2.780,3.00
0.00,460,2.930,3.00
0.00,620,3.630,3.00
0.00,580,4.000,1.00
0.00,800,3.890,2.00
1.00,540,3.770,2.00
1.00,680,3.760,3.00
1.00,680,2.420,1.00
1.00,620,3.370,1.00
0.00,560,3.780,2.00
0.00,560,3.490,4.00
0.00,620,3.630,2.00
1.00,800,4.000,2.00
0.00,640,3.120,3.00
0.00,540,2.700,2.00
0.00,700,3.650,2.00
1.00,540,3.490,2.00
0.00,540,3.510,2.00
0.00,660,4.000,1.00
1.00,480,2.620,2.00
0.00,420,3.020,1.00
1.00,740,3.860,2.00
0.00,580,3.360,2.00
0.00,640,3.170,2.00
0.00,640,3.510,2.00
1.00,800,3.050,2.00
1.00,660,3.880,2.00
1.00,600,3.380,3.00
1.00,620,3.750,2.00
1.00,460,3.990,3.00
0.00,620,4.000,2.00
0.00,560,3.040,3.00
0.00,460,2.630,2.00
0.00,700,3.650,2.00
0.00,600,3.890,3.00